Name,Question ID,Difficulty,Question Tags,Company Tags,Question URL,Total Submissions,Total Accepted
Two Sum,1,Easy,"Array, Hash Table","Accenture, Adobe, Amazon, American Express, Apple, Bloomberg, Expedia, Facebook, Goldman Sachs, Google, IBM, Intuit, JPMorgan, Microsoft, Morgan Stanley, Oracle, PayPal, Salesforce, Samsung, Spotify, Uber, Visa, Walmart Global Tech, Yahoo, Zoho, Zomato",https://leetcode.com/problems/two-sum,27728055,14993468
Add Two Numbers,2,Medium,"Linked List, Math, Recursion","Adobe, Amazon, Apple, Bloomberg, Capital One, Facebook, Google, JPMorgan, Microsoft, Oracle, SAP, Uber, Visa, Yahoo",https://leetcode.com/problems/add-two-numbers,11469652,5095775
Longest Substring Without Repeating Characters,3,Medium,"Hash Table, Sliding Window, String","Adobe, Amazon, Apple, Bloomberg, Facebook, Goldman Sachs, Google, Intuit, JPMorgan, Microsoft, Oracle, PayPal, Salesforce, Samsung, Spotify, Uber, VMWare, Walmart Global Tech, Yahoo, Yandex, Zoho",https://leetcode.com/problems/longest-substring-without-repeating-characters,18192839,6484588
Median of Two Sorted Arrays,4,Hard,"Array, Binary Search, Divide and Conquer","Accolite, Adobe, Amazon, Apple, Atlassian, Bloomberg, Bytedance, Facebook, Goldman Sachs, Google, Grab, HashedIn, IBM, Intuit, Linkedin, Microsoft, Nagarro, PayPal, PayTM, Samsung, ServiceNow, VMWare, Walmart Global Tech, Yandex",https://leetcode.com/problems/median-of-two-sorted-arrays,7032500,2940272
Longest Palindromic Substring,5,Medium,"Dynamic Programming, String, Two Pointers","Accenture, Accolite, Adobe, Amazon, Apple, Bloomberg, Facebook, Flipkart, Goldman Sachs, Google, HSBC, IBM, Intuit, MakeMyTrip, Microsoft, Morgan Stanley, Nagarro, Nutanix, Oracle, Qualcomm, SAP Labs, Samsung, ServiceNow, Sprinklr, Visa, Walmart, Zoho",https://leetcode.com/problems/longest-palindromic-substring,9805030,3397075
Zigzag Conversion,6,Medium,String,"Adobe, Amazon, PayPal",https://leetcode.com/problems/zigzag-conversion,3051279,1514139
Reverse Integer,7,Medium,Math,"Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Oracle, Samsung, Visa, Yahoo",https://leetcode.com/problems/reverse-integer,12236780,3587228
String to Integer (atoi),8,Medium,String,"Adobe, Amazon, Apple, Bloomberg, Facebook, Goldman Sachs, Google, Microsoft",https://leetcode.com/problems/string-to-integer-atoi,9516114,1721902
Palindrome Number,9,Easy,Math,"Accenture, Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Uber, Yahoo",https://leetcode.com/problems/palindrome-number,9345749,5401024
Regular Expression Matching,10,Hard,"Dynamic Programming, Recursion, String","Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Nvidia, Uber",https://leetcode.com/problems/regular-expression-matching,3652038,1040551
Container With Most Water,11,Medium,"Array, Greedy, Two Pointers","Adobe, Amazon, Apple, Bloomberg, Facebook, Goldman Sachs, Google, Microsoft",https://leetcode.com/problems/container-with-most-water,6091837,3435995
Integer to Roman,12,Medium,"Hash Table, Math, String","Adobe, Amazon, Apple, Bloomberg, Capital One, Google, Microsoft, Tiktok",https://leetcode.com/problems/integer-to-roman,2236513,1490575
Roman to Integer,13,Easy,"Hash Table, Math, String","Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Tiktok, Yahoo",https://leetcode.com/problems/roman-to-integer,6609467,4166244
Longest Common Prefix,14,Easy,"String, Trie","Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Quora, SAP, Uber",https://leetcode.com/problems/longest-common-prefix,8748234,3855017
3Sum,15,Medium,"Array, Sorting, Two Pointers","Adobe, Amazon, American Express, Apple, Bloomberg, Bytedance, Cisco, Facebook, Goldman Sachs, Google, Infosys, Microsoft, Morgan Stanley, Oracle, Qualtrics, Salesforce, Tesla, Tiktok, Uber, VMWare, Walmart Global Tech, Yahoo",https://leetcode.com/problems/3sum,11328631,4033569
3Sum Closest,16,Medium,"Array, Sorting, Two Pointers","Adobe, Amazon, Apple, Facebook, Goldman Sachs, Google, Microsoft",https://leetcode.com/problems/3sum-closest,2885089,1332455
Letter Combinations of a Phone Number,17,Medium,"Backtracking, Hash Table, String","Airtel, Amazon, Apple, Atlassian, Bloomberg, Capital One, Cisco, Databricks, Dunzo, Facebook, Flipkart, Goldman Sachs, Google, Microsoft, Morgan Stanley, Nagarro, OLA, Oracle, Qualtrics, Twilio, Uber, VMWare, Walmart Labs, eBay, oyo",https://leetcode.com/problems/letter-combinations-of-a-phone-number,3636161,2257209
4Sum,18,Medium,"Array, Sorting, Two Pointers","Adobe, Amazon, Apple, Facebook, Google, Infosys, Linkedin, Microsoft, Yahoo",https://leetcode.com/problems/4sum,2951468,1089175
Remove Nth Node From End of List,19,Medium,"Linked List, Two Pointers","Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Uber, Walmart Global Tech",https://leetcode.com/problems/remove-nth-node-from-end-of-list,6491244,3054566
Valid Parentheses,20,Easy,"Stack, String","Adobe, Amazon, Apple, Barclays, Bloomberg, BookingCom, Cisco, Expedia, Facebook, Goldman Sachs, Google, Linkedin, Microsoft, Oracle, Salesforce, ServiceNow, Spotify, TCS, Tiktok, Uber, VMWare, Yandex",https://leetcode.com/problems/valid-parentheses,12718629,5245461
Merge Two Sorted Lists,21,Easy,"Linked List, Recursion","Accenture, Adobe, Amazon, Bloomberg, Facebook, Google, Microsoft, Oracle, Shopee, Uber",https://leetcode.com/problems/merge-two-sorted-lists,7095202,4649203
Generate Parentheses,22,Medium,"Backtracking, Dynamic Programming, String","Adobe, Amazon, Apple, Bloomberg, Bytedance, Facebook, Google, Microsoft, Oracle, Tesla, Uber, Walmart Global Tech",https://leetcode.com/problems/generate-parentheses,2707774,2050939
Merge k Sorted Lists,23,Hard,"Divide and Conquer, Heap (Priority Queue), Linked List, Merge Sort","Adobe, Amazon, Apple, Bloomberg, Bytedance, Facebook, Google, Indeed, Linkedin, Microsoft, Oracle, Shopee, Sprinklr, Tiktok, VMWare, Walmart Global Tech, Yandex",https://leetcode.com/problems/merge-k-sorted-lists,4035543,2200079
Swap Nodes in Pairs,24,Medium,"Linked List, Recursion","Adobe, Amazon, Apple, Bloomberg, Facebook, Microsoft",https://leetcode.com/problems/swap-nodes-in-pairs,2257942,1481066
Reverse Nodes in k-Group,25,Hard,"Linked List, Recursion","Amazon, Bloomberg, Bytedance, Capital One, Facebook, Google, Microsoft, Yahoo",https://leetcode.com/problems/reverse-nodes-in-k-group,1743854,1060360
Remove Duplicates from Sorted Array,26,Easy,"Array, Two Pointers","Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Linkedin, Microsoft, VMWare",https://leetcode.com/problems/remove-duplicates-from-sorted-array,8911646,5176355
Remove Element,27,Easy,"Array, Two Pointers","Adobe, Amazon, Apple, Google, Microsoft",https://leetcode.com/problems/remove-element,5982121,3501799
Find the Index of the First Occurrence in a String,28,Easy,"String, String Matching, Two Pointers","Amazon, Google, Microsoft, Qualcomm",https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,6521967,2850999
Divide Two Integers,29,Medium,"Bit Manipulation, Math","Adobe, Amazon, Bloomberg, Facebook, Google, Microsoft, Yahoo",https://leetcode.com/problems/divide-two-integers,4636786,827240
Substring with Concatenation of All Words,30,Hard,"Hash Table, Sliding Window, String","Amazon, Apple, Google, Microsoft, Oracle",https://leetcode.com/problems/substring-with-concatenation-of-all-words,1546133,502856
Next Permutation,31,Medium,"Array, Two Pointers","Adobe, Amazon, Apple, Bloomberg, Bytedance, De Shaw, DoorDash, Facebook, Goldman Sachs, Google, Grab, JPMorgan and Chase, Linkedin, Microsoft, Rubrik, Tiktok, Uber, Walmart Labs, Yahoo, Zoho",https://leetcode.com/problems/next-permutation,3739720,1547783
Longest Valid Parentheses,32,Hard,"Dynamic Programming, Stack, String","Amazon, Bytedance, Facebook, Microsoft, Morgan Stanley, Oracle, VMWare",https://leetcode.com/problems/longest-valid-parentheses,2307675,806894
Search in Rotated Sorted Array,33,Medium,"Array, Binary Search","Accenture, Adobe, Airtel, Amazon, American Express, Apple, Arcesium, Bloomberg, Bytedance, Capgemini, Cisco, Cognizant, De Shaw, Expedia, Facebook, Flipkart, Goldman Sachs, Google, Grab, HashedIn, Intuit, JPMorgan, Linkedin, MakeMyTrip, Microsoft, Morgan Stanley, Nagarro, Nvidia, Oracle, PayPal, PayTM, PhonePe, Qualcomm, SAP Labs, Salesforce, Samsung, ServiceNow, Snapdeal, TCS, Tiktok, VMWare, Visa, Walmart Global Tech, Yahoo, Yandex, oyo",https://leetcode.com/problems/search-in-rotated-sorted-array,7452279,3109692
Find First and Last Position of Element in Sorted Array,34,Medium,"Array, Binary Search","Adobe, Airtel, Amazon, Bloomberg, Bytedance, Facebook, Goldman Sachs, Google, Linkedin, Microsoft, Oracle, Uber, VMWare, Wipro",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,5074222,2304160
Search Insert Position,35,Easy,"Array, Binary Search","Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Tiktok, Uber, VMWare",https://leetcode.com/problems/search-insert-position,6943019,3295974
Valid Sudoku,36,Medium,"Array, Hash Table, Matrix","Amazon, Apple, Cruise Automation, Facebook, Karat, Microsoft, Nvidia, Uber, Wayfair",https://leetcode.com/problems/valid-sudoku,2829774,1721572
Sudoku Solver,37,Hard,"Array, Backtracking, Hash Table, Matrix","Adobe, Amazon, Apple, DoorDash, Facebook, Google, Intuit, Microsoft, Nutanix, Salesforce, Tiktok, Uber",https://leetcode.com/problems/sudoku-solver,1054002,666546
Count and Say,38,Medium,String,"Adobe, Amazon, Apple, Facebook, Google, Walmart Global Tech, eBay",https://leetcode.com/problems/count-and-say,1783406,1012515
Combination Sum,39,Medium,"Array, Backtracking","Adobe, Airbnb, Amazon, Apple, Bloomberg, Bytedance, Facebook, Linkedin, Microsoft",https://leetcode.com/problems/combination-sum,3012491,2199758
Combination Sum II,40,Medium,"Array, Backtracking","Amazon, Bloomberg, Facebook, Oracle",https://leetcode.com/problems/combination-sum-ii,2133996,1207887
First Missing Positive,41,Hard,"Array, Hash Table","Adobe, Amazon, Databricks, Facebook, Google, Grab, Microsoft, Walmart Global Tech",https://leetcode.com/problems/first-missing-positive,3287077,1317751
Trapping Rain Water,42,Hard,"Array, Dynamic Programming, Monotonic Stack, Stack, Two Pointers","Adobe, Amazon, Apple, Bloomberg, Citadel, Facebook, Goldman Sachs, Google, Intuit, Microsoft, Oracle, PayPal, Qualtrics, Rubrik, ServiceNow, Snapchat, Tesla, Uber, Visa",https://leetcode.com/problems/trapping-rain-water,3804106,2410748
Multiply Strings,43,Medium,"Math, Simulation, String","Adobe, Amazon, Facebook, Google, Microsoft",https://leetcode.com/problems/multiply-strings,2115509,870950
Wildcard Matching,44,Hard,"Dynamic Programming, Greedy, Recursion, String","Amazon, Facebook, Google, Microsoft, Uber",https://leetcode.com/problems/wildcard-matching,2210995,636443
Jump Game II,45,Medium,"Array, Dynamic Programming, Greedy","Adobe, Amazon, Apple, Bloomberg, DoorDash, Google, Microsoft, Tesla, Tiktok",https://leetcode.com/problems/jump-game-ii,3567937,1455805
Permutations,46,Medium,"Array, Backtracking","Accenture, Accolite, Adobe, Amazon, Apple, Atlassian, Barclays, Bloomberg, Bytedance, Cognizant, Dunzo, Facebook, Flipkart, Goldman Sachs, Google, Infosys, Linkedin, Microsoft, Oracle, PayTM, Publicis Sapient, SAP, Salesforce, TCS, Uber, VMWare, Walmart Labs, Yahoo, eBay, oyo",https://leetcode.com/problems/permutations,2898967,2303549
Permutations II,47,Medium,"Array, Backtracking","Amazon, Microsoft",https://leetcode.com/problems/permutations-ii,1664922,1003507
Rotate Image,48,Medium,"Array, Math, Matrix","Adobe, Amazon, Apple, Bloomberg, Cisco, Facebook, Google, Microsoft, Rubrik, Uber",https://leetcode.com/problems/rotate-image,2593279,1976361
Group Anagrams,49,Medium,"Array, Hash Table, Sorting, String","Adobe, Amazon, Apple, Cisco, Facebook, Goldman Sachs, Google, IBM, JPMorgan, Microsoft, Oracle, Salesforce, ServiceNow, Tiktok, Twilio, Uber, VMWare, Visa, Walmart Global Tech, Yahoo, eBay",https://leetcode.com/problems/group-anagrams,4678705,3257995
"Pow(x, n)",50,Medium,"Math, Recursion","Adobe, Amazon, Apple, Bloomberg, Facebook, Goldman Sachs, Google, HSBC, JPMorgan and Chase, Linkedin, Microsoft, Oracle, PayPal, PayTM, TCS, Tiktok, Uber, VMWare, Walmart Labs, Yahoo, eBay",https://leetcode.com/problems/powx-n,5308512,1900480
N-Queens,51,Hard,"Array, Backtracking","Adobe, Amazon, Bloomberg, Bytedance, Facebook, Google, Microsoft, Tiktok",https://leetcode.com/problems/n-queens,1179852,830202
N-Queens II,52,Hard,Backtracking,Bytedance,https://leetcode.com/problems/n-queens-ii,573670,431313
Maximum Subarray,53,Medium,"Array, Divide and Conquer, Dynamic Programming","Adobe, Amazon, Apple, Bloomberg, Bytedance, Cisco, DocuSign, Facebook, Goldman Sachs, Google, Infosys, JPMorgan, Linkedin, Microsoft, Oracle, PayTM, Salesforce, Samsung, ServiceNow, Shopee, Uber, VMWare, Walmart Global Tech",https://leetcode.com/problems/maximum-subarray,8489968,4356983
Spiral Matrix,54,Medium,"Array, Matrix, Simulation","Accenture, Adobe, Amazon, Apple, Cisco, Cognizant, Facebook, Google, JPMorgan, Microsoft, Oracle, PayTM, SAP Labs, Salesforce, Uber, Wipro, Zoho, oyo",https://leetcode.com/problems/spiral-matrix,3177712,1643216
Jump Game,55,Medium,"Array, Dynamic Programming, Greedy","Amazon, Apple, Bloomberg, DoorDash, Facebook, Flipkart, Google, Qualtrics, Salesforce",https://leetcode.com/problems/jump-game,5720600,2222647
Merge Intervals,56,Medium,"Array, Sorting","Adobe, Amazon, Apple, Bloomberg, Bytedance, Cisco, Facebook, Google, IBM, Intuit, Linkedin, Microsoft, Morgan Stanley, Nvidia, Oracle, Salesforce, Shopee, Snapchat, Tiktok, Twitter, Uber, VMWare, Walmart Global Tech, Yandex",https://leetcode.com/problems/merge-intervals,5648224,2718848
Insert Interval,57,Medium,Array,"Amazon, Facebook, Google, Linkedin",https://leetcode.com/problems/insert-interval,2974043,1259964
Length of Last Word,58,Easy,String,"Amazon, Microsoft",https://leetcode.com/problems/length-of-last-word,4320721,2339572
Spiral Matrix II,59,Medium,"Array, Matrix, Simulation","Amazon, Apple, Microsoft, Tiktok",https://leetcode.com/problems/spiral-matrix-ii,868092,627850
Permutation Sequence,60,Hard,"Math, Recursion","Adobe, Facebook",https://leetcode.com/problems/permutation-sequence,895265,432825
Rotate List,61,Medium,"Linked List, Two Pointers","Bloomberg, Microsoft",https://leetcode.com/problems/rotate-list,2849556,1106590
Unique Paths,62,Medium,"Combinatorics, Dynamic Programming, Math","Adobe, Amazon, Apple, Atlassian, Bloomberg, Bytedance, Cisco, Directi, Facebook, Goldman Sachs, Google, Linkedin, MathWorks, Microsoft, OLA, Oracle, PayTM, Qualtrics, SAP Labs, Salesforce, Snapchat, Twilio, Uber, VMWare, Walmart, Zoho, Zomato",https://leetcode.com/problems/unique-paths,3157323,2050557
Unique Paths II,63,Medium,"Array, Dynamic Programming, Matrix","Amazon, Atlassian, Bloomberg, Cisco, Cruise Automation, De Shaw India, Expedia, Facebook, Google, Microsoft, Oracle, PayTM, Qualtrics, VMWare, Zomato",https://leetcode.com/problems/unique-paths-ii,2494558,1055763
Minimum Path Sum,64,Medium,"Array, Dynamic Programming, Matrix","Amazon, Apple, Goldman Sachs, Google, Microsoft, Oracle, Square, Uber",https://leetcode.com/problems/minimum-path-sum,2031317,1323932
Valid Number,65,Hard,String,"Facebook, Linkedin",https://leetcode.com/problems/valid-number,1934677,396496
Plus One,66,Easy,"Array, Math","Adobe, Amazon, Apple, Bytedance, Facebook, Google",https://leetcode.com/problems/plus-one,5495579,2548983
Add Binary,67,Easy,"Bit Manipulation, Math, Simulation, String","Adobe, Amazon, Facebook, Google, Snapchat, Uber",https://leetcode.com/problems/add-binary,2996889,1633829
Text Justification,68,Hard,"Array, Simulation, String","Adobe, Amazon, Apple, Capital One, Facebook, Flipkart, Google, Indeed, Karat, Linkedin, Microsoft, Nagarro, Nvidia, Oracle, Pinterest, Snapchat, Square, Twilio, Uber, Walmart, eBay",https://leetcode.com/problems/text-justification,1031146,470478
Sqrt(x),69,Easy,"Binary Search, Math","Adobe, Amazon, Apple, Bloomberg, Google, Linkedin, Microsoft",https://leetcode.com/problems/sqrtx,5636996,2226886
Climbing Stairs,70,Easy,"Dynamic Programming, Math, Memoization","Adobe, Amazon, Bloomberg, Expedia, Goldman Sachs, Google, Microsoft, Uber, Yahoo",https://leetcode.com/problems/climbing-stairs,6931003,3685522
Simplify Path,71,Medium,"Stack, String","Amazon, Apple, Facebook, Google",https://leetcode.com/problems/simplify-path,1973819,883370
Edit Distance,72,Medium,"Dynamic Programming, String","Amazon, Apple, Bloomberg, Facebook, Google, Linkedin, Microsoft, Rubrik",https://leetcode.com/problems/edit-distance,1721396,990583
Set Matrix Zeroes,73,Medium,"Array, Hash Table, Matrix","Amazon, Apple, Bloomberg, Facebook, Microsoft",https://leetcode.com/problems/set-matrix-zeroes,2875827,1662350
Search a 2D Matrix,74,Medium,"Array, Binary Search, Matrix","Accenture, Accolite, Adobe, Amazon, Apple, Bloomberg, Cisco, CodeNation, Facebook, Goldman Sachs, HSBC, Microsoft, Nvidia, Oracle, PhonePe, Publicis Sapient, Salesforce, Samsung, Uber, Wipro",https://leetcode.com/problems/search-a-2d-matrix,3982361,2039786
Sort Colors,75,Medium,"Array, Sorting, Two Pointers","Adobe, Amazon, Facebook, Grab, Microsoft, Nvidia, Salesforce, Uber, VMWare",https://leetcode.com/problems/sort-colors,3714427,2427526
Minimum Window Substring,76,Hard,"Hash Table, Sliding Window, String","Adobe, Airbnb, Amazon, Apple, Facebook, Linkedin, Lyft, Microsoft, Oracle, Snapchat",https://leetcode.com/problems/minimum-window-substring,3449094,1515018
Combinations,77,Medium,Backtracking,"Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Yahoo",https://leetcode.com/problems/combinations,1390739,994563
Subsets,78,Medium,"Array, Backtracking, Bit Manipulation","Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Twitter, Uber",https://leetcode.com/problems/subsets,2749167,2185113
Word Search,79,Medium,"Array, Backtracking, Matrix, String","Amazon, Bloomberg, Facebook, Indeed, Karat, Microsoft, Snapchat, Twitter, Uber",https://leetcode.com/problems/word-search,4213138,1847374
Remove Duplicates from Sorted Array II,80,Medium,"Array, Two Pointers",Adobe,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,2010538,1218919
Search in Rotated Sorted Array II,81,Medium,"Array, Binary Search","Adobe, Amazon, Apple, Facebook, Linkedin",https://leetcode.com/problems/search-in-rotated-sorted-array-ii,2167585,829604
Remove Duplicates from Sorted List II,82,Medium,"Linked List, Two Pointers","Amazon, Facebook, Microsoft",https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,1680332,815891
Remove Duplicates from Sorted List,83,Easy,Linked List,"Adobe, Amazon, Bloomberg, Facebook, Microsoft",https://leetcode.com/problems/remove-duplicates-from-sorted-list,3180672,1706659
Largest Rectangle in Histogram,84,Hard,"Array, Monotonic Stack, Stack","Adobe, Amazon, Bloomberg, Bytedance, DoorDash, Facebook, Microsoft, Uber",https://leetcode.com/problems/largest-rectangle-in-histogram,2236047,1023054
Maximal Rectangle,85,Hard,"Array, Dynamic Programming, Matrix, Monotonic Stack, Stack","Amazon, Apple, Google",https://leetcode.com/problems/maximal-rectangle,1027450,534222
Partition List,86,Medium,"Linked List, Two Pointers","Adobe, Amazon, Apple, Bloomberg, Facebook, Microsoft, PayTM, Samsung",https://leetcode.com/problems/partition-list,1193692,686157
Scramble String,87,Hard,"Dynamic Programming, String",Yahoo,https://leetcode.com/problems/scramble-string,597166,244717
Merge Sorted Array,88,Easy,"Array, Sorting, Two Pointers","Amazon, Apple, Bloomberg, Facebook, Indeed, Linkedin, Microsoft, Oracle, Shopee, Uber",https://leetcode.com/problems/merge-sorted-array,7406125,3802775
Gray Code,89,Medium,"Backtracking, Bit Manipulation, Math",Amazon,https://leetcode.com/problems/gray-code,528236,318652
Subsets II,90,Medium,"Array, Backtracking, Bit Manipulation","Adobe, Amazon, Bloomberg, Facebook",https://leetcode.com/problems/subsets-ii,1798197,1047768
Decode Ways,91,Medium,"Dynamic Programming, String","Amazon, Apple, Bloomberg, Cisco, Facebook, Goldman Sachs, Google, Lyft, Microsoft",https://leetcode.com/problems/decode-ways,3770020,1342671
Reverse Linked List II,92,Medium,Linked List,"Accolite, Adobe, Airtel, Amazon, Apple, Capgemini, Cisco, Cognizant, De Shaw India, Dunzo, Facebook, Flipkart, Google, HashedIn, IBM, Infosys, Intuit, MakeMyTrip, MathWorks, Microsoft, Nagarro, OLA, Oracle, PayPal, PayTM, Publicis Sapient, Qualcomm, SAP Labs, Salesforce, Samsung, TCS, Wipro",https://leetcode.com/problems/reverse-linked-list-ii,1986188,963688
Restore IP Addresses,93,Medium,"Backtracking, String","Amazon, Bytedance, Facebook, Microsoft, Tiktok, Yahoo",https://leetcode.com/problems/restore-ip-addresses,957170,491773
Binary Tree Inorder Traversal,94,Easy,"Binary Tree, Depth-First Search, Stack, Tree","Adobe, Amazon, Apple, Bloomberg, Facebook, Goldman Sachs, Google, Microsoft, Oracle, Snapdeal, Yahoo",https://leetcode.com/problems/binary-tree-inorder-traversal,3610139,2790843
Unique Binary Search Trees II,95,Medium,"Backtracking, Binary Search Tree, Binary Tree, Dynamic Programming, Tree","Adobe, Amazon, Bloomberg, Google, Infosys, Microsoft, Morgan Stanley, Nagarro, Uber, eBay",https://leetcode.com/problems/unique-binary-search-trees-ii,809581,477129
Unique Binary Search Trees,96,Medium,"Binary Search Tree, Binary Tree, Dynamic Programming, Math, Tree",Amazon,https://leetcode.com/problems/unique-binary-search-trees,1144136,706014
Interleaving String,97,Medium,"Dynamic Programming, String","Amazon, Apple, Barclays, Bloomberg, Capgemini, Cisco, De Shaw India, Facebook, Google, HSBC, Medianet, Microsoft, PayTM, Salesforce, Sprinklr, Uber, Yahoo",https://leetcode.com/problems/interleaving-string,1413159,576090
Validate Binary Search Tree,98,Medium,"Binary Search Tree, Binary Tree, Depth-First Search, Tree","Adobe, Amazon, Bloomberg, Facebook, Microsoft, Oracle, Qualtrics, Tiktok, VMWare",https://leetcode.com/problems/validate-binary-search-tree,7654731,2568731
Recover Binary Search Tree,99,Medium,"Binary Search Tree, Binary Tree, Depth-First Search, Tree","Adobe, Amazon, Apple, Bloomberg, Google, Microsoft",https://leetcode.com/problems/recover-binary-search-tree,902608,492387
Same Tree,100,Easy,"Binary Tree, Breadth-First Search, Depth-First Search, Tree","Amazon, Apple, Bloomberg, Facebook, Google, Linkedin",https://leetcode.com/problems/same-tree,3848291,2447946
Symmetric Tree,101,Easy,"Binary Tree, Breadth-First Search, Depth-First Search, Tree","Adobe, Amazon, Bloomberg, Facebook, Google, Linkedin, Microsoft, Uber",https://leetcode.com/problems/symmetric-tree,3795505,2194269
Binary Tree Level Order Traversal,102,Medium,"Binary Tree, Breadth-First Search, Tree","Amazon, Apple, Bloomberg, Facebook, Google, Linkedin, Microsoft, Oracle, ServiceNow",https://leetcode.com/problems/binary-tree-level-order-traversal,3624914,2495176
Binary Tree Zigzag Level Order Traversal,103,Medium,"Binary Tree, Breadth-First Search, Tree","Adobe, Amazon, Apple, Bloomberg, Facebook, Google, Linkedin, Microsoft, Oracle",https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,2168691,1306598
Maximum Depth of Binary Tree,104,Easy,"Binary Tree, Breadth-First Search, Depth-First Search, Tree","Amazon, Apple, Bloomberg, Facebook, Google, Linkedin, Microsoft, Spotify",https://leetcode.com/problems/maximum-depth-of-binary-tree,4576284,3490700
Construct Binary Tree from Preorder and Inorder Traversal,105,Medium,"Array, Binary Tree, Divide and Conquer, Hash Table, Tree","Amazon, Bloomberg, Bytedance, Google, Microsoft, Uber",https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,2109076,1376449
Construct Binary Tree from Inorder and Postorder Traversal,106,Medium,"Array, Binary Tree, Divide and Conquer, Hash Table, Tree",Shopee,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,1100117,710605
Binary Tree Level Order Traversal II,107,Medium,"Binary Tree, Breadth-First Search, Tree",Amazon,https://leetcode.com/problems/binary-tree-level-order-traversal-ii,1060444,684809
Convert Sorted Array to Binary Search Tree,108,Easy,"Array, Binary Search Tree, Binary Tree, Divide and Conquer, Tree","Amazon, Apple, Facebook, Microsoft, Oracle",https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,1813081,1320742
Convert Sorted List to Binary Search Tree,109,Medium,"Binary Search Tree, Binary Tree, Divide and Conquer, Linked List, Tree","Amazon, Facebook, Google, Microsoft",https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,884345,556852
Balanced Binary Tree,110,Easy,"Binary Tree, Depth-First Search, Tree","Adobe, Amazon, Facebook, Google, Spotify",https://leetcode.com/problems/balanced-binary-tree,3155497,1694573
Minimum Depth of Binary Tree,111,Easy,"Binary Tree, Breadth-First Search, Depth-First Search, Tree","Amazon, Bloomberg, Facebook, Goldman Sachs, MakeMyTrip, PayTM, PhonePe",https://leetcode.com/problems/minimum-depth-of-binary-tree,2639214,1297890
Path Sum,112,Easy,"Binary Tree, Breadth-First Search, Depth-First Search, Tree","Amazon, Facebook, Microsoft, Oracle, Walmart Global Tech",https://leetcode.com/problems/path-sum,3122117,1611320
Path Sum II,113,Medium,"Backtracking, Binary Tree, Depth-First Search, Tree","Amazon, Facebook, Google, Microsoft, Oracle",https://leetcode.com/problems/path-sum-ii,1559218,925967
Flatten Binary Tree to Linked List,114,Medium,"Binary Tree, Depth-First Search, Linked List, Stack, Tree","Amazon, Facebook, Microsoft, Salesforce",https://leetcode.com/problems/flatten-binary-tree-to-linked-list,1582559,1055476
Distinct Subsequences,115,Hard,"Dynamic Programming, String","Amazon, Google, MathWorks",https://leetcode.com/problems/distinct-subsequences,958441,465698
Populating Next Right Pointers in Each Node,116,Medium,"Binary Tree, Breadth-First Search, Depth-First Search, Linked List, Tree","Adobe, Amazon, Apple, Bloomberg, Facebook, Flipkart, Google, Microsoft, Oracle, Salesforce, Walmart Labs",https://leetcode.com/problems/populating-next-right-pointers-in-each-node,1735989,1109371
Populating Next Right Pointers in Each Node II,117,Medium,"Binary Tree, Breadth-First Search, Depth-First Search, Linked List, Tree","Adobe, Amazon, Bloomberg, Citadel, Facebook, Google, Microsoft, Walmart Labs",https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,1263590,680574
Pascal's Triangle,118,Easy,"Array, Dynamic Programming","Adobe, Amazon, Apple, Capgemini, Goldman Sachs, Google, Grab, JPMorgan and Chase, Microsoft, Samsung, ServiceNow, Snapchat, TCS, Uber, Yahoo",https://leetcode.com/problems/pascals-triangle,2470680,1869003
Pascal's Triangle II,119,Easy,"Array, Dynamic Programming","Adobe, Amazon, Goldman Sachs, Microsoft",https://leetcode.com/problems/pascals-triangle-ii,1472640,955500
Triangle,120,Medium,"Array, Dynamic Programming","Amazon, Microsoft",https://leetcode.com/problems/triangle,1487554,861232
